ID,DATE_DIFF,GENDER,AGE,COUNTRY
lq0fec8hfd,1,FEMALE,30.0,US
2fauin9rez,0,FEMALE,29.0,US
zfcvq4vj94,36,FEMALE,42.0,US
dl6lf5iqw8,1,FEMALE,30.0,US
r3i72eb2ae,13,MALE,44.0,US
6wdr9zaflp,1,MALE,48.0,US
myo86rnosj,2,MALE,32.0,US
9nf2vrjee0,0,MALE,51.0,US
fn9i5v97zr,6,MALE,45.0,US
mbjxmbwngx,351,MALE,36.0,US
vmbq6kd8rf,0,FEMALE,57.0,US
hd8n2vcnh7,1,MALE,39.0,US
obnyc7z50d,1,FEMALE,61.0,US
f6dszs8xce,1,MALE,64.0,US
i8q93p96t0,0,MALE,35.0,US
uhbkw5exeg,23,MALE,70.0,US
pn4dcb27fv,7,FEMALE,28.0,US
09i58csdl3,139,MALE,52.0,US
kw7qyvlhsq,0,MALE,70.0,US
bbel7f8v5r,0,FEMALE,67.0,US
lfyel5e7ld,0,MALE,46.0,US
atuisqv42a,1,FEMALE,55.0,US
8xecy1uwy0,1,FEMALE,30.0,US
wpkieepqt7,0,MALE,52.0,US
sy3gvih73c,2,FEMALE,31.0,US
2ryibplmo9,2,FEMALE,41.0,US
s55gicqg1d,0,MALE,29.0,US
n10moy4054,2,FEMALE,34.0,US
0gv72o0m8o,1,FEMALE,54.0,US
m0u1y22mre,0,FEMALE,65.0,US
cb67o81bup,30,FEMALE,65.0,US
a74it7h6o1,12,FEMALE,44.0,US
u3sw0dbupz,3,MALE,37.0,US
z70euzgxrv,2,FEMALE,73.0,US
z6t6a4clp2,4,FEMALE,29.0,US
gh9wwbnxoy,0,MALE,36.0,US
qfhtg8plvx,1,FEMALE,36.0,FR
rohhbyxj69,0,FEMALE,32.0,US
ianaom1z9s,0,FEMALE,36.0,US
9ouah6tc30,0,FEMALE,104.0,FR
uglnad82h8,10,FEMALE,33.0,US
wostjau9h3,24,MALE,54.0,CA
6wyshxlfix,303,MALE,31.0,US
8yty8d7o3x,1,FEMALE,37.0,US
mb04lox8tt,169,FEMALE,31.0,US
jgg07z5gyt,0,FEMALE,42.0,US
kc0kexyyes,1,FEMALE,37.0,US
lnd79ajx1i,22,FEMALE,46.0,US
1w0zewm9b4,0,FEMALE,28.0,US
i519ro1yxs,1,FEMALE,35.0,US
qertqulx4t,0,FEMALE,19.0,US
61kob9coeg,50,FEMALE,38.0,US
dbjktqkfk6,3,FEMALE,31.0,US
3j8hg0dr04,1,MALE,43.0,IT
fd6gb3m1ae,0,FEMALE,33.0,US
yjrmoqwkfe,35,MALE,31.0,NL
767if1is7y,1,FEMALE,36.0,US
b5l09ad6aa,7,FEMALE,41.0,US
2dmuy3lff2,1,MALE,35.0,US
rzhouzy2ok,0,FEMALE,5.0,IT
cybxhjg7qs,81,MALE,30.0,ES
yh9cw0pkr7,3,MALE,35.0,US
itcjsfgprl,1,MALE,30.0,US
au7cisk99y,1,FEMALE,35.0,US
zc18mzhqkl,158,MALE,55.0,US
zn4k34mdym,8,MALE,33.0,FR
g8e3caky7u,0,MALE,38.0,FR
qcisr5eha6,3,FEMALE,36.0,IT
anojvlueb5,0,MALE,33.0,US
pp6zqf7ja0,0,FEMALE,33.0,US
k6bwkpywgp,5,MALE,66.0,FR
qwh6hotuhx,6,MALE,42.0,US
svwo8gsij4,23,FEMALE,37.0,US
r4psixs50q,0,MALE,43.0,US
nh7l8syd9z,4,FEMALE,41.0,US
ep4jkzkbag,44,FEMALE,51.0,US
ochtz2ywon,355,MALE,32.0,US
86zt3jb8da,1,FEMALE,34.0,US
90kms5pfkj,1,FEMALE,42.0,US
6da1tizfdl,0,MALE,30.0,US
408z640vli,0,MALE,45.0,US
l519vf5kvm,36,MALE,35.0,US
zb8z8xkhsp,1,FEMALE,39.0,ES
wbq36esvxu,5,MALE,33.0,FR
8ezdq9ses0,2,FEMALE,35.0,US
edyofwncru,4,FEMALE,36.0,US
fq2207xetj,0,MALE,51.0,US
d22j6g7d7b,4,MALE,37.0,ES
yjhdjdiljd,4,FEMALE,35.0,US
h03acyutc6,1,MALE,35.0,US
t6r8fr7i7s,2,FEMALE,57.0,US
o81jqbp6nz,0,MALE,68.0,CA
bd8nmdweio,1,FEMALE,35.0,FR
o93tkul29e,7,MALE,28.0,US
tmwacqy7ie,77,MALE,35.0,US
mut7pml3n3,2,FEMALE,29.0,US
z0t5mbe64u,46,MALE,33.0,US
1yux9rbgma,0,FEMALE,25.0,US
t30mcstvcb,0,FEMALE,27.0,US
9lxwul0jo3,262,MALE,31.0,US
zr80hpnaki,2,MALE,29.0,NL
oitnl6wsnp,0,FEMALE,49.0,US
3wenu2jg5c,0,FEMALE,33.0,ES
a06yjae4ef,3,FEMALE,51.0,US
zchyyoof4w,19,FEMALE,31.0,US
tddv47sf3b,43,FEMALE,35.0,US
dr6mejiwru,1,MALE,29.0,US
3chg9747hv,0,FEMALE,47.0,FR
zll1b0vl03,1,MALE,38.0,FR
qfzep0tc68,1,FEMALE,29.0,US
tvefk1wu97,6,FEMALE,38.0,US
njw449p8cw,4,MALE,45.0,US
p7vjr2na0h,0,FEMALE,38.0,US
xfzcswol51,0,FEMALE,32.0,US
a0baqtj6f7,2,FEMALE,32.0,FR
o2ox5tb0x1,0,FEMALE,45.0,US
hvouxvvk6r,3,MALE,35.0,US
n9ileuohqv,11,FEMALE,38.0,US
m4dqjjm9cx,362,MALE,53.0,US
a6s48a6cr0,0,MALE,39.0,ES
adfobbsbef,3,MALE,30.0,US
gk1qldi3hh,5,FEMALE,18.0,US
s0a273hide,50,MALE,31.0,US
774et6r68m,54,FEMALE,33.0,US
n63v9tbrle,4,FEMALE,51.0,US
u8on5xnzls,344,FEMALE,34.0,US
kxhdsabccn,3,MALE,30.0,US
6xzz0x076n,116,FEMALE,45.0,US
bz2fkslpqe,5,FEMALE,37.0,US
wlrovw82h2,49,FEMALE,35.0,DE
a8yz53lr1m,4,FEMALE,44.0,US
ttl2f5kp8y,1,FEMALE,37.0,US
d0vicidnvy,302,FEMALE,26.0,US
d3myybjbwe,1,FEMALE,30.0,US
jsbz7e660c,22,FEMALE,55.0,US
9xkmpjlkqb,0,MALE,30.0,FR
ejjgt1egne,0,MALE,25.0,US
gy6xm24sxy,19,MALE,32.0,ES
jd2rvmhc87,3,MALE,5.0,US
dj3m3z3ax5,1,MALE,30.0,CA
clf2rlbeqg,13,MALE,39.0,US
137ycjj201,0,MALE,29.0,FR
5v3my95u9r,0,FEMALE,47.0,US
vwwz281d6u,0,FEMALE,49.0,US
41ajlsc0np,38,FEMALE,38.0,US
r70z39j5h4,2,FEMALE,35.0,US
6sndaew6fo,1,FEMALE,30.0,US
rajsdmlxs7,1,FEMALE,34.0,FR
w3z31ny4cw,0,MALE,65.0,US
jg17rpei5j,2,FEMALE,49.0,DE
welggh33yz,4,FEMALE,37.0,ES
ukbzuu7lpo,1,FEMALE,40.0,US
ml5zo3j2ij,0,MALE,33.0,US
t9d6qr0843,1,FEMALE,50.0,US
xth3iy4b8w,0,FEMALE,5.0,US
g0l4fpt3my,8,MALE,38.0,CA
4org3ff1fa,53,MALE,34.0,US
1y1ba1uie3,1,FEMALE,32.0,US
i4v7ucn9aa,19,MALE,75.0,US
rqx4761ak7,2,MALE,34.0,US
8f6shb2m91,0,FEMALE,67.0,US
uhpgo8phmt,1,FEMALE,33.0,GB
pxt2tgkrw9,66,FEMALE,28.0,US
r87v1sxmn5,0,FEMALE,53.0,FR
2ktg26a6aw,4,MALE,29.0,US
fa6k7t6etm,4,MALE,35.0,US
d69d8joenu,0,MALE,67.0,US
ermo4z3lbb,0,FEMALE,28.0,US
0cv7otq3ax,326,FEMALE,36.0,US
xm97l4wvhd,0,FEMALE,35.0,US
l9u6l7yla7,16,FEMALE,32.0,FR
u0pectsafi,3,FEMALE,39.0,US
3k83bz4wn1,0,FEMALE,29.0,US
oqp9esg8ed,0,FEMALE,38.0,US
m3mkfkct6b,3,FEMALE,26.0,US
jze7edqu2m,0,FEMALE,43.0,US
bo8duy9wip,113,FEMALE,30.0,US
ca1l3q82n2,33,FEMALE,33.0,FR
1r9j5tp8jk,1,FEMALE,34.0,US
kdzsjorhr3,4,FEMALE,27.0,US
enqe9lux2y,0,FEMALE,38.0,US
x9w9mb058o,2,MALE,32.0,FR
9kyyikfd0n,1,MALE,37.0,AU
wyc7t4iomf,23,FEMALE,32.0,US
3docjr6y2v,0,FEMALE,59.0,US
m82epwn7i8,1,MALE,2014.0,US
ebisunyuvk,7,FEMALE,31.0,US
2npnvilv51,1,MALE,42.0,US
77qfjwd8uv,32,MALE,79.0,US
8do17d2uhf,5,MALE,33.0,US
enwwrpof1z,2,FEMALE,30.0,US
wn7q2xqlcy,1,FEMALE,31.0,US
8u8l4tpmdt,0,MALE,43.0,US
j37yqxs2mv,53,MALE,44.0,AU
aaqcz3ilmh,1,MALE,37.0,FR
cf1mbsdzcr,1,FEMALE,39.0,FR
z97sou8b0r,1,MALE,30.0,US
g120y9kugg,18,FEMALE,40.0,US
2bwerj2a52,10,FEMALE,44.0,FR
1hduupu2nh,0,FEMALE,28.0,FR
x1g28nrxlj,1,FEMALE,32.0,US
pnql7ah5sf,10,FEMALE,73.0,US
qjdam1axj6,22,MALE,33.0,US
0jf9uylf6t,0,FEMALE,41.0,US
d2ly7tmozh,351,MALE,51.0,US
19himez6jj,7,FEMALE,30.0,US
2rd6n0ppgp,6,FEMALE,31.0,US
dw9ijqtdz3,1,FEMALE,34.0,US
5o7jk3mw43,0,MALE,31.0,US
ipo36ly6wb,147,FEMALE,47.0,US
8x52sp9svn,2,MALE,35.0,FR
g8mjoltkgp,1,MALE,31.0,US
olvbzhwh4l,3,MALE,48.0,US
t97f1snpey,291,MALE,50.0,GB
rsid3p1nto,1,MALE,60.0,FR
5om7scci9u,293,FEMALE,33.0,IT
3087wgilby,76,FEMALE,34.0,IT
c40wvno9pj,2,FEMALE,70.0,US
ppiblg3q4w,0,FEMALE,30.0,US
5ntegpi9pn,79,FEMALE,66.0,US
2ykc32y71p,12,FEMALE,27.0,US
2th813zdx7,1,MALE,2013.0,US
aqunhq0jfm,8,FEMALE,32.0,US
wumse8mh76,7,FEMALE,55.0,US
yv8k9alt2w,0,MALE,28.0,US
c5kqfe0bwk,4,FEMALE,31.0,US
mm7zx932oz,3,MALE,18.0,DE
sp3xoim851,0,MALE,43.0,US
0db7ipfga7,0,MALE,33.0,IT
aonihxbrh3,79,FEMALE,45.0,FR
6hzy19cik6,17,MALE,72.0,US
5lpx3ier2b,0,FEMALE,30.0,US
3amf04n3o3,2,FEMALE,2014.0,US
4pxmvfjh2o,121,FEMALE,48.0,US
2cieic92oy,0,FEMALE,39.0,US
7kze0xxz0h,1,FEMALE,26.0,US
5j8yo0z1kw,5,FEMALE,45.0,FR
vvzo8di3lf,0,FEMALE,39.0,US
tppgc3lpl9,279,FEMALE,32.0,ES
o4l9hcz9x6,0,MALE,31.0,US
9beo2vk65h,1,MALE,34.0,US
6vpmryt377,0,FEMALE,2014.0,CA
opgk7xz9zp,16,FEMALE,25.0,US
6ew3juria0,6,FEMALE,33.0,IT
dhfxk1z3qj,1,FEMALE,58.0,US
oe24vorxvq,21,FEMALE,31.0,FR
uxy91xb5p2,0,MALE,2014.0,US
5t87g2a5nk,54,FEMALE,32.0,US
okd2uvowg7,1,FEMALE,29.0,US
94llep5bvl,0,MALE,18.0,US
p33feug479,0,MALE,29.0,US
nn3mt8czvh,16,FEMALE,39.0,US
7axn8govy1,1,MALE,29.0,CA
1z5g53rasq,45,MALE,29.0,US
v4rxxouj19,1,MALE,35.0,US
xop1lhmwsm,29,MALE,34.0,US
02or8fjfh8,4,FEMALE,35.0,US
v4dbzd5hu1,5,MALE,31.0,US
go0maocn4j,1,MALE,4.0,IT
0ozyn0fclv,0,FEMALE,30.0,US
uav9xvclhq,0,FEMALE,27.0,US
fm963zjlsn,187,FEMALE,73.0,US
6epg1hf6n9,1,FEMALE,42.0,IT
xfrozt32i0,0,FEMALE,50.0,FR
ql0lc1osyz,5,MALE,50.0,US
t1p3z21tzx,14,FEMALE,50.0,US
7non9gl6am,4,FEMALE,33.0,US
tpfgicd1qq,1,MALE,65.0,US
uluxll1otn,1,FEMALE,28.0,US
wqf9wfzg05,0,FEMALE,19.0,US
9hjtj2kiac,5,FEMALE,66.0,FR
h6wppj323n,0,MALE,57.0,US
2g04hy48r7,5,MALE,25.0,US
gdtqr0p5zh,6,MALE,31.0,GB
z39b48bjtp,5,FEMALE,35.0,US
665tw6tfgz,5,MALE,38.0,CA
rm7t0am1eo,361,FEMALE,28.0,US
9de2k9kn2v,2,MALE,32.0,US
ulg4n99w7p,8,FEMALE,33.0,US
6b0fsvx6g7,80,MALE,35.0,US
oeeurqo1dl,0,MALE,36.0,US
eobbh6jqjs,3,FEMALE,42.0,US
pwa49v5wy5,0,MALE,33.0,US
7708poavpe,19,MALE,31.0,US
zbavabpf2i,1,FEMALE,43.0,US
drtqzm0x9s,8,MALE,34.0,FR
8hln9yoam9,14,FEMALE,36.0,ES
k768y9fr6k,86,FEMALE,39.0,US
84nhez57px,1,FEMALE,39.0,DE
hwl62sl83h,2,MALE,5.0,GB
nmxkkuzlah,3,MALE,38.0,ES
qcip788it5,3,FEMALE,25.0,US
u5cjgr53rs,1,FEMALE,27.0,US
xxoaiumi5z,34,FEMALE,36.0,IT
is52h84dwt,160,MALE,39.0,GB
e18jl7ojg6,1,MALE,66.0,US
1899dx66ec,3,FEMALE,28.0,DE
3wiezx8ifd,4,MALE,36.0,US
tpjpt9s441,35,FEMALE,37.0,GB
8802un11wa,1,MALE,29.0,US
hvgtdsavlw,142,FEMALE,45.0,US
u7617267c4,3,FEMALE,37.0,US
b95070faz1,0,MALE,36.0,US
bxgjud1rmn,0,FEMALE,34.0,US
blahlplj1g,0,MALE,38.0,US
fou0j7fhnm,1,FEMALE,2014.0,US
44wfpcqh22,1,FEMALE,52.0,FR
0s2anfm1la,1,FEMALE,39.0,FR
wka6etk2jm,0,MALE,31.0,IT
dnk7pwueyo,0,MALE,51.0,US
b2saq7c4vv,2,MALE,46.0,US
d14n49abhi,2,MALE,31.0,US
lhq2rzximd,12,MALE,44.0,US
m2rm0knvrp,0,FEMALE,35.0,US
0qht2kuzpi,311,FEMALE,5.0,US
g11zyo57zo,359,MALE,40.0,US
dsabjwvuqv,31,FEMALE,37.0,US
tfojwsquv0,4,MALE,46.0,US
jmjg5pzct1,23,MALE,41.0,US
etvbtad16z,1,MALE,24.0,US
4qreigh7ol,0,FEMALE,54.0,US
qqeuca8leh,0,FEMALE,33.0,US
xitwcfbkin,0,FEMALE,41.0,US
fjaod8jsc3,6,FEMALE,35.0,US
8i2clu05y0,5,MALE,34.0,US
6soqb0760t,2,FEMALE,32.0,US
pyxeboaab9,342,FEMALE,29.0,US
acudno8k61,16,FEMALE,28.0,US
ltswfjkfy0,21,FEMALE,48.0,US
hi29jf0z33,2,MALE,41.0,US
7ls2bipiwa,0,FEMALE,50.0,US
66tkxddvai,14,MALE,30.0,US
uqncyj8byz,29,FEMALE,101.0,US
9lkved7fhg,0,FEMALE,98.0,US
4c3fnw9qkr,319,FEMALE,33.0,US
r6ae9wh9gg,1,FEMALE,29.0,US
kfe3lvo1he,2,FEMALE,35.0,US
zjp1fsp2it,6,MALE,33.0,US
v3dv7o4gen,0,MALE,38.0,US
uy08wio2xn,0,MALE,38.0,DE
tf9b9072ho,0,MALE,34.0,US
6tqlahps2k,0,MALE,41.0,US
cfceni7zfu,11,MALE,43.0,US
tgdb2hq783,7,FEMALE,31.0,US
pdls6oxutj,1,FEMALE,31.0,FR
c85zrr69yu,7,FEMALE,46.0,US
pwmw5vpisd,1,FEMALE,58.0,US
o2soesnodw,0,MALE,40.0,US
bc0qapp1j9,3,MALE,5.0,FR
ri7nmfafj7,4,MALE,5.0,DE
5imldqc8jb,103,FEMALE,29.0,ES
tkukuif7fa,1,MALE,28.0,US
cltciydfc4,4,MALE,42.0,US
sdaj9zga3g,57,MALE,31.0,US
dravomgxwc,0,MALE,29.0,US
04cv5ta9u0,53,FEMALE,32.0,US
q9ybnw5kqw,237,FEMALE,37.0,US
tca3k6w2k6,143,FEMALE,45.0,US
9fk148ioaq,3,FEMALE,30.0,FR
atme1ulhe5,3,FEMALE,46.0,US
42ogb6ludm,233,MALE,32.0,US
biqg0vsez2,2,FEMALE,32.0,CA
bhulw2ivly,5,MALE,45.0,US
8tbcih88re,2,MALE,56.0,US
np6cpnz1d0,1,FEMALE,35.0,ES
js2k87pnrd,332,FEMALE,49.0,US
gnvdvx4pv4,0,FEMALE,34.0,US
3worwayemh,67,MALE,38.0,FR
h9p1plkxla,0,MALE,18.0,FR
1t67txrbcd,8,FEMALE,37.0,US
1qzpaj6she,1,MALE,30.0,US
duqugm044d,1,MALE,48.0,US
yx0xrwpgh5,72,FEMALE,48.0,GB
gpnatkrouq,1,FEMALE,30.0,US
1001be8jv6,13,MALE,38.0,US
n5krzxup3m,1,FEMALE,46.0,US
z8k9h6iczx,2,MALE,30.0,US
zgs16sh8ys,1,FEMALE,54.0,US
xqwul2ymc7,204,FEMALE,31.0,NL
v5dx7sxse0,34,FEMALE,32.0,US
cf2czzbdla,41,FEMALE,30.0,FR
l5z6po1hbg,3,MALE,32.0,US
4f19pmi5k2,0,FEMALE,42.0,US
vemaqc04ih,19,FEMALE,29.0,GB
0pci9kdr6t,11,MALE,59.0,US
lji6kwvrno,1,FEMALE,35.0,US
y9jjuk5m0z,1,MALE,37.0,US
go1e38sgvj,1,FEMALE,35.0,US
rksthkclrm,62,MALE,41.0,US
p3qmgevxu3,0,MALE,74.0,US
irqw60biq1,1,FEMALE,37.0,US
twi0lpyq23,3,MALE,62.0,FR
c8sg70kdag,126,MALE,39.0,US
mrrh1j1hza,0,FEMALE,33.0,US
3yp2iqop9i,18,FEMALE,43.0,US
hpuvzevzjc,0,FEMALE,66.0,FR
k10mmp6jx4,2,MALE,67.0,US
xy6nx0eh5x,0,FEMALE,39.0,US
qo0tfc1yrr,2,MALE,34.0,CA
dz7ob5tg5f,0,FEMALE,40.0,US
ncccg6t0uk,0,MALE,50.0,US
myyqvgneev,10,FEMALE,53.0,US
ih32ht604b,2,MALE,43.0,US
9aouhu15rk,183,FEMALE,2014.0,US
jjs99af9iu,45,MALE,50.0,US
vuxswv88vo,32,MALE,46.0,US
8fu2kqnbog,329,FEMALE,42.0,US
8wxkkbpwuk,7,FEMALE,87.0,US
ii8pq412i1,0,FEMALE,38.0,US
ezdv0q1va7,2,MALE,50.0,ES
g4pymtxkrk,1,FEMALE,92.0,US
fhel206fe5,292,MALE,39.0,US
a172vjsfcu,3,FEMALE,41.0,ES
zb02fayqaf,3,MALE,62.0,US
exdmehrxgz,0,MALE,29.0,US
gb6wobv4ug,1,MALE,30.0,US
vqk1lf93ce,3,FEMALE,31.0,US
pri84yk3be,143,FEMALE,58.0,US
r8og0zayem,0,MALE,49.0,US
hj0dhhbhiy,6,MALE,34.0,ES
fg6w6cn2vs,2,MALE,39.0,FR
6ui4y7wqeg,142,FEMALE,30.0,US
cbhbmgmd9x,10,MALE,28.0,US
bc7db3yujh,334,FEMALE,31.0,US
tkwq5mn5zu,1,FEMALE,31.0,FR
l1xrxwctj2,0,FEMALE,33.0,US
8469o9pu6g,4,MALE,32.0,US
wjf0gpvqqo,2,MALE,30.0,US
ifcwnvfnqq,3,MALE,30.0,US
zjbe01cwxj,9,MALE,63.0,US
vi0c3ny9xg,0,MALE,36.0,FR
cmyt65wyhp,4,MALE,30.0,US
gaqviu1a4t,0,FEMALE,47.0,IT
zghavony41,0,FEMALE,35.0,FR
32hr65vrlo,3,FEMALE,32.0,US
g0nolg0d8o,2,FEMALE,37.0,US
bm9ej02auq,9,MALE,43.0,US
rsxg4m0jqr,7,MALE,55.0,US
ptfcpe51da,26,FEMALE,25.0,US
o5u2um6zdu,1,FEMALE,34.0,FR
vvjwy4afs2,1,MALE,40.0,US
ipyu9mer85,0,FEMALE,24.0,US
1tu9xknt68,0,MALE,29.0,US
pvu61jjiry,0,FEMALE,29.0,US
avxq12eyaz,100,MALE,35.0,US
440m96uj5l,305,MALE,34.0,IT
ef3o5xo5gm,0,MALE,59.0,US
byhjb6qmsp,2,MALE,37.0,US
8dy8qfuukj,2,FEMALE,35.0,US
wbf2q2eyn9,1,MALE,31.0,US
umaoy65uax,10,FEMALE,28.0,US
105c65k38r,8,FEMALE,36.0,FR
lr33nrcbhn,116,MALE,40.0,US
bmlcaeblk2,3,FEMALE,37.0,US
szw8fku36d,0,FEMALE,34.0,US
62kpaldxhm,9,FEMALE,23.0,US
fshzzadcac,2,FEMALE,34.0,US
dxgvy3j0zr,121,MALE,25.0,CA
1f2ub7h9ul,1,FEMALE,43.0,CA
swzt5xhati,27,MALE,32.0,CA
6wmsmllhr0,1,MALE,37.0,US
ga9kvxy7g3,0,MALE,31.0,US
0wezeac2zz,57,FEMALE,36.0,US
a9e5qaou8a,1,MALE,32.0,US
e1yc8xndt1,0,FEMALE,54.0,US
bdn24z8lop,3,MALE,34.0,US
c4rtkbt31k,1,MALE,61.0,US
lyzltsy8z0,4,FEMALE,30.0,US
gz1otowuw5,1,MALE,32.0,US
33fqcc20by,0,FEMALE,35.0,US
5j66nwydk7,1,FEMALE,51.0,US
8061iiuzjf,6,FEMALE,33.0,US
rlom2qqdaz,3,FEMALE,38.0,US
0awva64emv,1,FEMALE,36.0,US
eg7qol17g6,115,MALE,39.0,US
zp1us2rkli,2,MALE,46.0,US
jqtvzn6q60,8,MALE,28.0,US
4o5759m4d9,1,MALE,38.0,US
28ez73fik2,2,FEMALE,32.0,US
13oho3i1we,2,FEMALE,28.0,US
wlz6nvf4gj,0,MALE,44.0,US
v07urgcfyc,1,FEMALE,62.0,US
nwj63ao80r,337,FEMALE,44.0,US
vqh5fqb2b0,2,MALE,36.0,US
rp2vwh8qbh,183,FEMALE,41.0,US
4cdla2kl3i,0,FEMALE,36.0,FR
9xukcgk0se,14,FEMALE,29.0,US
g5ggz1gusi,13,MALE,30.0,US
pq4z2v3oog,0,MALE,43.0,US
v1rq629zke,28,FEMALE,63.0,US
qs0f3etw8t,0,MALE,25.0,ES
0wotcrfgf2,3,MALE,32.0,US
4bl6ckv7a4,2,FEMALE,43.0,US
qabokxtvyv,133,FEMALE,32.0,US
3pagp38ueq,0,MALE,33.0,US
1ouabmo6ll,7,FEMALE,35.0,US
5xr8oo9mzu,1,MALE,32.0,US
kvv1op0rod,1,MALE,44.0,US
m56fziyrf8,0,FEMALE,39.0,US
5z7volsdhd,1,MALE,46.0,US
zjfatxbmxp,0,MALE,38.0,US
msapfkp5on,10,FEMALE,50.0,US
fbijalkxpi,0,FEMALE,27.0,US
d4rug6eedz,0,FEMALE,55.0,US
o523j6oc71,1,MALE,63.0,US
18um29209j,1,FEMALE,30.0,US
eaakyd8ueb,1,MALE,60.0,US
haof8b6ii6,2,MALE,64.0,US
mel88pucx9,9,MALE,36.0,FR
pq9hlkmerh,2,FEMALE,31.0,FR
foljl4s2bv,21,FEMALE,31.0,US
syle1tl627,0,MALE,39.0,ES
mcued2x2jr,14,FEMALE,32.0,US
dqvujctrv0,0,FEMALE,34.0,US
3rehjx42zw,1,FEMALE,39.0,US
vxyi2qaer8,284,FEMALE,46.0,US
ofpai1f8qf,1,MALE,34.0,US
psbl9bx0x9,0,MALE,46.0,US
fc0bhqaffz,2,FEMALE,30.0,US
g0in27w6a6,3,MALE,37.0,US
dtemo43d1f,0,MALE,34.0,US
of1z5b98so,1,FEMALE,29.0,US
nigruijx0o,1,FEMALE,28.0,US
w25stl6kkv,1,MALE,46.0,US
7i1wc34vxj,0,FEMALE,33.0,AU
byuwiocg4b,317,MALE,35.0,US
09wxvehai1,0,FEMALE,32.0,NL
aqlx5lrj5b,0,FEMALE,32.0,US
l2v0nd52it,1,MALE,37.0,US
kodn9t7mss,8,FEMALE,48.0,US
xy5iplbhqt,8,FEMALE,35.0,US
ooi9w1d80x,38,MALE,31.0,DE
rx190b5cpu,0,MALE,41.0,US
rcge294n94,8,FEMALE,34.0,US
9pyx85b8s1,4,FEMALE,18.0,US
0jkrsuva47,0,MALE,35.0,US
14svzq63dd,184,MALE,41.0,US
u863nc3qm4,1,FEMALE,27.0,US
3ktpdgyjy7,15,MALE,25.0,US
dowmc3s31f,0,MALE,37.0,US
obiwr5dmzh,0,MALE,37.0,US
iry5a2ga2a,186,MALE,54.0,US
hdel69bxbv,2,MALE,33.0,US
614ria225l,336,MALE,33.0,US
oow9e6cqgu,27,FEMALE,34.0,US
9z3m1mk0rk,0,FEMALE,51.0,US
8uzpo5nkav,8,MALE,33.0,US
qlc1qrvmuq,3,FEMALE,35.0,US
crtgkft197,257,MALE,31.0,US
6zchyfmydj,3,MALE,36.0,US
57jjfxymvn,264,MALE,56.0,NL
eq0v5763lb,21,FEMALE,30.0,DE
jub4v8gxqg,29,FEMALE,35.0,US
kxlg2y4ztq,0,MALE,41.0,US
xcf5ejrvtg,0,MALE,33.0,NL
yhsieqwzez,3,FEMALE,31.0,US
gv2eqonx3y,21,MALE,35.0,US
qomeuk9frv,12,FEMALE,25.0,FR
1bhb7tdpdt,7,MALE,28.0,US
mfyntyh7t7,2,MALE,36.0,US
